Defaulted container "hyrax-worker" out of: hyrax-worker, db-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: true
Started: Thu May 28 16:24:35 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/import_1060_20260227160032_3100/ (492.0 MB, 90d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1000_20251022181714/ (1.4 MB, 218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1001_20251023171934/ (1.4 MB, 217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1002_20251024155116/ (242.9 KB, 216d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1003_20251024204258/ (1.4 MB, 216d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1004_20251024204506/ (1.4 MB, 216d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1005_20251024204526/ (1.4 MB, 216d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1006_20251024204553/ (1.3 MB, 216d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1007_20251027115128/ (1.3 MB, 213d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1008_20251028115026/ (177.1 KB, 212d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1009_20251028142554/ (1.3 MB, 212d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/100_20221229164843/ (90.4 KB, 1246d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1010_20251028170606/ (1.3 MB, 212d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1011_20251029195030/ (1.3 MB, 211d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1012_20251030172924/ (1.3 MB, 210d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1013_20251031185506/ (561.2 KB, 209d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1013_20251031185506_2999/ (560.8 KB, 209d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1013_20251031185506_3032/ (544.7 KB, 209d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1014_20251031203641/ (127.7 KB, 209d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1014_20251031203641_3008/ (129.8 KB, 209d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1015_20251031204256/ (165.9 KB, 209d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1015_20251031204256_3006/ (168.0 KB, 209d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1016_20251031204418/ (1.3 MB, 209d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1017_20251031204607/ (1.3 MB, 209d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1018_20251103133254/ (37.0 KB, 206d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1019_20251104175856/ (1.3 MB, 205d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/101_20221229185543/ (2.2 MB, 1246d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1020_20251106155234/ (1.3 MB, 203d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1021_20251107200115/ (1.3 MB, 202d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1022_20251107213141/ (1.3 MB, 202d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1023_20251107213207/ (1.3 MB, 202d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1024_20251107213239/ (1.5 MB, 202d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1025_20251107213323/ (1.5 MB, 202d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1026_20251113145422/ (1.5 MB, 196d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1027_20251118171902/ (105.0 KB, 191d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1028_20251118180856/ (1.5 MB, 191d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1029_20251119180251/ (158.5 KB, 190d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1029_20251119180251_3033/ (139.8 KB, 190d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1029_20251119180251_3034/ (142.0 KB, 190d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/102_20221230012633/ (2.4 MB, 1245d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1030_20251119204804/ (8.2 KB, 190d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1030_20251119204804_3036/ (8.2 KB, 190d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1030_20251119204804_3037/ (8.2 KB, 190d old)
